site,name,lon,lat,elev,MAT,MAP,IGBP,tier1,tier2,url
FR-Gri,Grignon,1.95191,48.84422,125,12,650,CRO,2004-2013,2004-2014,http://sites.fluxdata.org/FR-Gri/
FR-LBr,Le Bray,-0.7693,44.71711,61,13.6,900,ENF,1996-2008,1996-2008,http://sites.fluxdata.org/FR-LBr/
FR-Pue,Puechabon,3.5957,43.7413,270,13.5,883,EBF,2000-2014,2000-2014,http://sites.fluxdata.org/FR-Pue/
GF-Guy,Guyaflux (French Guiana),-52.92486,5.27877,48,25.7,3041,EBF,2004-2014,2004-2014,http://sites.fluxdata.org/GF-Guy/
GH-Ank,Ankasa,-2.69421,5.26854,124,26,1900,EBF,,2011-2014,http://sites.fluxdata.org/GH-Ank/
IT-BCi,Borgo Cioffi,14.95744,40.52375,20,18,600,CRO,2004-2014,2004-2014,http://sites.fluxdata.org/IT-BCi/
IT-CA1,Castel d'Asso1,12.02656,42.38041,200,14,766,DBF,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA1/
IT-CA2,Castel d'Asso2,12.02604,42.37722,200,14,766,CRO,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA2/
IT-CA3,Castel d'Asso3,12.0222,42.3800,197,14,766,DBF,2011-2014,2011-2014,http://sites.fluxdata.org/IT-CA3/
IT-Col,Collelongo,13.58814,41.84936,1560,6.3,1180,DBF,1996-2014,1996-2014,http://sites.fluxdata.org/IT-Col/
IT-Cp2,Castelporziano2,12.35729,41.70427,19,15.2,805,EBF,2012-2014,2012-2014,http://sites.fluxdata.org/IT-Cp2/
IT-Cpz,Castelporziano,12.37611,41.70525,68,15.6,780,EBF,1997-2009,1997-2009,http://sites.fluxdata.org/IT-Cpz/
IT-Isp,Ispra ABC-IS,8.63358,45.81264,210,12.2,1300,DBF,2013-2014,2013-2014,http://sites.fluxdata.org/IT-Isp/
IT-La2,Lavarone2,11.2853,45.9542,1350,7.2,1150,ENF,2000-2002,2000-2002,http://sites.fluxdata.org/IT-La2/
IT-Lav,Lavarone,11.28132,45.9562,1353,7.8,1291,ENF,2003-2014,2003-2014,http://sites.fluxdata.org/IT-Lav/
IT-MBo,Monte Bondone,11.04583,46.01468,1550,5.1,1214,GRA,2003-2013,2003-2013,http://sites.fluxdata.org/IT-MBo/
IT-Noe,Arca di Noe - Le Prigionette,8.15117,40.60618,25,15.9,588,CSH,2004-2014,2004-2014,http://sites.fluxdata.org/IT-Noe/
IT-PT1,Parco Ticino forest,9.06104,45.20087,60,12.7,984,DBF,2002-2004,2002-2004,http://sites.fluxdata.org/IT-PT1/
IT-Ren,Renon,11.43369,46.58686,1730,4.7,809.3,ENF,1998-2013,1998-2013,http://sites.fluxdata.org/IT-Ren/
IT-Ro1,Roccarespampani 1,11.93001,42.40812,235,15.15,876.2,DBF,2000-2008,2000-2008,http://sites.fluxdata.org/IT-Ro1/
IT-Ro2,Roccarespampani 2,11.92093,42.39026,160,15.15,876.2,DBF,2002-2012,2002-2012,http://sites.fluxdata.org/IT-Ro2/
IT-SR2,San Rossore 2,10.29095,43.73203,4,14.2,920,ENF,2013-2014,2013-2014,http://sites.fluxdata.org/IT-SR2/
IT-SRo,San Rossore,10.28444,43.72786,6,14.2,920,ENF,1999-2012,1999-2012,http://sites.fluxdata.org/IT-SRo/
