site	country	lat	long	elev	IGBP	href
US-Tw2	USA	38.1047	-121.6433	-5	CRO	http://sites.fluxdata.org/US-Tw2/
US-Tw3	USA	38.1159	-121.6467	-9	CRO	http://sites.fluxdata.org/US-Tw3/
US-Tw4	USA	38.103	-121.6414	-5	WET	http://sites.fluxdata.org/US-Tw4/
US-Twt	USA	38.1087	-121.653		CRO	http://sites.fluxdata.org/US-Twt/
US-UMB	USA	45.5598	-84.7138	234	DBF	http://sites.fluxdata.org/US-UMB/
US-UMd	USA	45.5625	-84.6975	239	DBF	http://sites.fluxdata.org/US-UMd/
US-Var	USA	38.4133	-120.9507	129	GRA	http://sites.fluxdata.org/US-Var/
US-WCr	USA	45.8059	-90.0799	520	DBF	http://sites.fluxdata.org/US-WCr/
US-Whs	USA	31.7438	-110.0522	1370	OSH	http://sites.fluxdata.org/US-Whs/
US-Wi0	USA	46.6188	-91.0814	349	ENF	http://sites.fluxdata.org/US-Wi0/
US-Wi1	USA	46.7305	-91.2329	352	DBF	http://sites.fluxdata.org/US-Wi1/
US-Wi2	USA	46.6869	-91.1528	395	ENF	http://sites.fluxdata.org/US-Wi2/
US-Wi3	USA	46.6347	-91.0987	411	DBF	http://sites.fluxdata.org/US-Wi3/
US-Wi4	USA	46.7393	-91.1663	352	ENF	http://sites.fluxdata.org/US-Wi4/
US-Wi5	USA	46.6531	-91.0858	353	ENF	http://sites.fluxdata.org/US-Wi5/
US-Wi6	USA	46.6249	-91.2982	371	OSH	http://sites.fluxdata.org/US-Wi6/
US-Wi7	USA	46.6491	-91.0693	335	OSH	http://sites.fluxdata.org/US-Wi7/
US-Wi8	USA	46.7223	-91.2524	348	DBF	http://sites.fluxdata.org/US-Wi8/
US-Wi9	USA	46.6188	-91.0814	350	ENF	http://sites.fluxdata.org/US-Wi9/
US-Wkg	USA	31.7365	-109.9419	1531	GRA	http://sites.fluxdata.org/US-Wkg/
US-WPT	USA	41.4646	-82.9962	175	WET	http://sites.fluxdata.org/US-WPT/
ZA-Kru	South Africa	-25.0197	31.4969	359	SAV	http://sites.fluxdata.org/ZA-Kru/
ZM-Mon	Zambia	-15.4378	23.2528	1053	DBF	http://sites.fluxdata.org/ZM-Mon/
